Nacional;Comunidades y Ciudades Autonomas;Causas (lista reducida);Sexo;Edad;Total
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;2
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;1
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;3
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;2
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;3
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;1
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;1
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;1
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;10
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;3
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;1
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;2
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;1
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;1
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;1
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;1
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;0
Total Nacional;Cantabria; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;1
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;8
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;8
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;8
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;13
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;7
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;15
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;11
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;9
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;5
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;10
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;5
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;6
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;4
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;82
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;5
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;5
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;7
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;9
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;2
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;14
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;9
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;7
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;2
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;10
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;4
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;6
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;2
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;27
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;3
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;3
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;1
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;4
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;5
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;1
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;2
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;2
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;3
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;1
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;0
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;2
Total Nacional;Castilla y Leon; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;85
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;9
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;9
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;11
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;8
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;10
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;10
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;9
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;5
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;3
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;5
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;1
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;5
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;70
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;7
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;8
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;9
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;6
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;7
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;9
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;9
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;5
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;2
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;5
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;3
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;15
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;2
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;1
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;2
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;2
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;3
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;1
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;1
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;1
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;2
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;0
Total Nacional;Castilla - La Mancha; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;3
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;4
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;22
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;40
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;24
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;38
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;26
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;36
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;28
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;16
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;23
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;12
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;15
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;8
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;7
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;4
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;213
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;4
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;11
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;25
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;21
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;29
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;18
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;22
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;19
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;13
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;17
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;9
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;10
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;7
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;5
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;3
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;90
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;11
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;15
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;3
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;9
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;8
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;14
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;9
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;3
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;6
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;3
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;5
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;1
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;2
Total Nacional;Cataluña; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;1
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;228
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;1
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;19
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;18
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;23
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;34
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;32
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;25
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;19
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;11
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;14
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;9
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;8
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;9
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;4
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;2
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;169
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;1
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;11
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;14
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;17
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;26
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;25
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;19
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;17
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;8
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;8
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;6
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;5
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;7
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;3
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;2
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;59
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;8
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;4
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;6
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 45 a 49 años;8
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 50 a 54 años;7
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 55 a 59 años;6
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 60 a 64 años;2
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 65 a 69 años;3
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 70 a 74 años;6
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 75 a 79 años;3
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 80 a 84 años;3
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 85 a 89 años;2
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 90 a 94 años;1
Total Nacional;Comunitat Valenciana; Suicidio y lesiones autoinfligidas;Mujeres;De 95 años y mas;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;Todas las edades;39
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;Menores de 1 año;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 1 a 14 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 15 a 29 años;2
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 30 a 39 años;3
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 40 a 44 años;4
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 45 a 49 años;3
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 50 a 54 años;2
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 55 a 59 años;2
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 60 a 64 años;6
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 65 a 69 años;5
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 70 a 74 años;4
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 75 a 79 años;4
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 80 a 84 años;2
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 85 a 89 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 90 a 94 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Ambos sexos;De 95 años y mas;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;Todas las edades;31
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;Menores de 1 año;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 1 a 14 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 15 a 29 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 30 a 39 años;3
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 40 a 44 años;3
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 45 a 49 años;3
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 50 a 54 años;2
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 55 a 59 años;2
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 60 a 64 años;5
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 65 a 69 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 70 a 74 años;4
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 75 a 79 años;4
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 80 a 84 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 85 a 89 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 90 a 94 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Hombres;De 95 años y mas;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;Todas las edades;8
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;Menores de 1 año;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 1 a 14 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 15 a 29 años;1
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 30 a 39 años;0
Total Nacional;Extremadura; Suicidio y lesiones autoinfligidas;Mujeres;De 40 a 44 años;1
